x,y,cluster_id
308.226,214.218,0
309.911,218.128,0
318.517,206.505,0
318.593,217.947,0
318.781,284.069,0
320.467,201.513,0
320.517,212.596,0
321.368,272.095,0
322.321,284.123,0
322.466,270.125,0
324.519,203.765,0
324.686,184.922,0
325.765,189.418,0
325.975,176.518,0
326.589,200.29,0
327.508,204.33,0
327.985,180.553,0
328.157,183.377,0
328.464,192.496,0
329.111,178.711,0
330.307,187.571,0
331.827,197.622,0
337.308,192.884,0
270.18,162.686,1
274.017,168.348,1
275.771,170.781,1
278.996,161.903,1
280.035,159.796,1
280.393,169.288,1
283.29,171.61,1
283.867,175.797,1
284.139,156.744,1
285.057,177.706,1
286.244,182.265,1
286.747,177.43,1
286.96,163.109,1
288.02,181.703,1
288.343,159.396,1
288.678,175.478,1
289.241,167.981,1
290.943,176.968,1
291.753,164.505,1
296.317,181.354,1
297.907,168.428,1
302.175,163.204,1
61.0877,259.648,2
63.3255,253.074,2
63.7281,249.985,2
64.6104,254.34,2
67.2361,257.941,2
67.6223,256.141,2
67.8755,251.366,2
68.0656,254.286,2
70.6028,241.921,2
70.8028,251.825,2
70.8627,233.461,2
70.9804,249.336,2
71.4945,232.615,2
71.5274,274.244,2
71.5559,273.045,2
72.0082,273.426,2
72.1627,254.21,2
73.5833,233.682,2
73.8811,251.402,2
74.1113,261.671,2
74.1961,284.777,2
75.5239,274.93,2
75.7119,256.043,2
75.787,276.905,2
76.0779,259.107,2
55.4298,243.146,3
58.6852,235.794,3
61.2104,238.897,3
63.5043,245.96,3
64.0179,228.31,3
64.5808,245.568,3
65.0182,238.344,3
65.5101,242.867,3
65.812,236.873,3
66.2492,241.773,3
67.0635,236.535,3
67.8946,229.435,3
69.3244,236.394,3
70.1104,240.034,3
70.2441,244.822,3
402.443,197.634,4
402.726,179.959,4
402.748,185.025,4
405.976,183.108,4
406.626,184.045,4
407.418,187.233,4
408.5,186.83,4
410.026,187.034,4
411.504,174.146,4
411.856,200.189,4
412.159,180.511,4
412.849,189.627,4
414.254,186.056,4
416.845,197.32,4
417.296,181.058,4
417.318,201.123,4
417.684,175.408,4
418.383,196.53,4
418.492,205.662,4
420.036,193.364,4
420.859,199.386,4
422.191,194.534,4
422.587,185.631,4
424.322,193.504,4
425.745,200.469,4
426.276,195.292,4
426.287,194.853,4
427.145,179.52,4
428.403,196.026,4
429.096,199.789,4
429.927,182.108,4
430.54,194.8,4
430.878,192.071,4
432.922,183.786,4
435.209,193.587,4
435.299,195.537,4
436.079,193.274,4
437.104,187.31,4
440.973,191.462,4
153.284,148.717,5
157.424,145.323,5
158.544,152.637,5
163.393,142.587,5
164.206,161.869,5
164.222,151.986,5
165.636,151.03,5
166.403,139.476,5
166.846,138.668,5
167.218,149.067,5
167.39,159.061,5
167.701,161.197,5
168.305,159.578,5
169.042,161.243,5
172.365,165.252,5
172.813,169.548,5
172.825,151.223,5
174.592,153.276,5
175.225,153.635,5
175.646,161.094,5
176.32,163.59,5
176.832,160.785,5
178.646,166.979,5
182.406,167.133,5
192.094,169.77,5
142.377,18.4497,6
142.846,22.0972,6
143.567,21.6013,6
145.451,19.1161,6
145.559,17.3619,6
146.208,16.3086,6
147.257,26.0229,6
147.517,22.58,6
148.284,30.929,6
148.312,29.2989,6
148.475,17.9833,6
148.681,18.1124,6
149.185,21.2693,6
149.738,19.9599,6
150.739,22.7849,6
151.771,25.2261,6
153.757,30.4907,6
154.009,30.279,6
359.934,81.3149,7
361.371,71.1992,7
365.52,65.3938,7
366.784,69.2996,7
367.215,71.9848,7
